time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
179.461,0.004758991,0.01069568,-0.01033165,0.1033334,-0.002271105,0.08625961,0.1106977,0.09581509,-0.2090359,355.3626,356.6937,354.0155,1.175693,-0.6879889,-0.3018461,1.135422,1.627824,-0.5194305,-0.2937437,-0.7592152,-0.2175219,47.39223,273.5857,339.4118,-1.492269,-0.70534,-0.3361095,1.451635,-2.378817,0.1086326,0.4608648,-0.7868187,-0.2155977,52.71108,98.00539,53.20113,
193.313,0.005711032,0.01236951,-0.01215435,0.1090529,-0.0261331,0.08956439,0.1107962,0.09602299,-0.2092514,355.276,356.7531,353.9676,0.9682255,-0.5429734,-0.2571654,0.7895038,1.453749,-0.387962,-0.2869913,-0.7629774,-0.2192033,48.1624,272.9211,339.0276,-1.278161,-0.5418629,-0.2755505,1.215115,-2.116073,-0.3035165,0.4511854,-0.7900152,-0.217674,54.23001,98.4123,52.90462,
206.914,0.0065786,0.01159124,-0.01438182,0.09105749,-0.04583736,0.05900171,0.1109068,0.09615488,-0.2095056,355.2415,356.808,353.997,0.7318527,-0.4023073,-0.2028303,0.4137222,1.323121,-0.1490342,-0.2834439,-0.7646197,-0.2199452,48.66543,272.0955,338.9153,-1.019184,-0.3989321,-0.2154649,0.8271032,-1.796423,-0.6060048,0.4458509,-0.7921758,-0.2185841,55.18954,99.11227,52.64133,
221.016,0.006279335,0.009436818,-0.01748759,0.06251776,-0.04758551,0.005910486,0.1109309,0.09614729,-0.2099257,355.248,356.8228,354.0844,0.4784996,-0.2626388,-0.1277476,0.1364908,1.109498,0.2039787,-0.2834,-0.7648002,-0.2193339,48.88051,271.7228,339.5131,-0.6826417,-0.2503423,-0.1358928,0.31169,-1.264005,-0.587675,0.4452749,-0.7924133,-0.2175324,55.14259,99.9304,52.77143,
234.919,0.00425945,0.00609284,-0.02094669,0.03738749,-0.03151121,-0.03877969,0.110925,0.09609346,-0.2103181,355.2617,356.7982,354.1725,0.2554739,-0.1462485,-0.04522742,0.02650528,0.8438627,0.4414691,-0.285798,-0.7638127,-0.2176915,48.96033,271.8403,340.3832,-0.3789289,-0.1309735,-0.04438913,0.06347796,-0.7730019,-0.3930132,0.4476864,-0.7917202,-0.2151798,54.8877,100.2376,52.90554,
248.909,0.001927766,0.001694614,-0.02506141,0.009627886,-0.006383465,-0.06901127,0.110908,0.09597129,-0.2107816,355.3105,356.7538,354.252,-0.01809811,-0.003514644,0.05804294,-0.1506316,0.409584,0.5638496,-0.2931749,-0.7603325,-0.2141945,48.42191,272.179,341.2214,-0.07023554,-0.01070977,0.07055726,0.01495389,-0.2444305,-0.3139853,0.4543131,-0.7890165,-0.2112452,54.47502,99.64742,52.24537,
261.55,-0.0002692954,-0.003144318,-0.02945682,-0.02599155,0.01219802,-0.07849359,0.1108811,0.09583834,-0.2112927,355.3965,356.721,354.3005,-0.2627024,0.1311406,0.1464659,-0.3983835,-0.02823982,0.6096163,-0.302728,-0.7551995,-0.2098396,47.37709,272.438,341.8759,0.19978,0.1006482,0.1781648,-0.0003383756,0.2756981,-0.3599085,0.463777,-0.7850397,-0.2065098,53.80684,98.43201,50.86884,
275.65,-0.001625808,-0.007272311,-0.03425547,-0.0619477,0.02546206,-0.07845447,0.1108625,0.0957078,-0.2118697,355.5083,356.6902,354.3424,-0.5412947,0.2991406,0.248158,-0.7330105,-0.5148301,0.7676808,-0.3163318,-0.747309,-0.2040162,45.64936,272.9438,342.8649,0.5156227,0.2403292,0.2945133,-0.157024,0.8447468,-0.4778012,0.4784017,-0.7787408,-0.2001341,52.5396,96.92177,49.01814,
289.639,-0.002491348,-0.01075482,-0.03912755,-0.08683205,0.03420101,-0.07743549,0.110826,0.09552164,-0.212503,355.616,356.6573,354.386,-0.7896765,0.4637127,0.3448259,-1.002379,-0.826116,1.061271,-0.3321805,-0.7377254,-0.1972213,43.80415,273.6576,344.3641,0.8227494,0.3890168,0.3909184,-0.539185,1.287318,-0.6636022,0.496381,-0.7703339,-0.1927096,50.75573,95.88425,47.21627,
303.571,-0.003161412,-0.01271761,-0.04371864,-0.1008589,0.04687758,-0.07030363,0.1107752,0.09533995,-0.2132082,355.7158,356.604,354.4112,-1.005803,0.6231627,0.4372999,-1.183823,-1.023081,1.371604,-0.3503292,-0.7260864,-0.189433,41.9149,274.5456,346.1232,1.106035,0.5482201,0.472527,-1.047586,1.603975,-0.9633755,0.5171392,-0.7596493,-0.1842529,48.57317,95.23602,45.2566,
