controller_right_pos.x,controller_right_pos.y,controller_right_pos.z
-1.081354,2.008962,0.1140815,
-1.081947,2.008725,0.1143021,
-1.082825,2.008906,0.1140385,
-1.082886,2.008686,0.1141416,
-1.082761,2.00833,0.1143941,
-1.083038,2.007772,0.1147086,
-1.082906,2.007466,0.1149953,
-1.082491,2.007416,0.1153503,
-1.081942,2.007234,0.1158691,
-1.081614,2.006986,0.1162054,
-1.081513,2.006577,0.1162224,
-1.08129,2.005937,0.1160245,
-1.081314,2.005344,0.1155674,
-1.081324,2.004694,0.1153408,
-1.081265,2.004317,0.1153078,
-1.081152,2.003954,0.1154284,
-1.081135,2.003584,0.1155005,
-1.081253,2.003322,0.1155336,
-1.081382,2.003083,0.1155668,
-1.081517,2.002713,0.1155979,
-1.08157,2.002284,0.1157714,
-1.081663,2.001766,0.1161835,
-1.081799,2.001141,0.116468,
-1.082003,2.000088,0.1166973,
-1.082384,1.998642,0.1167889,
-1.083083,1.996842,0.1167244,
-1.084017,1.995074,0.1165762,
-1.08515,1.993061,0.1164458,
-1.086487,1.990823,0.1163591,
-1.087798,1.988294,0.1161924,
-1.088987,1.9855,0.115981,
-1.090229,1.982283,0.1155326,
-1.091307,1.978711,0.1148645,
-1.092158,1.97483,0.114084,
-1.093043,1.97066,0.1133433,
-1.09448,1.966337,0.1124156,
-1.095942,1.962181,0.1112459,
-1.097561,1.957687,0.1099532,
-1.099036,1.953082,0.1087146,
-1.100197,1.948313,0.1074402,
-1.100891,1.943471,0.1062255,
-1.101436,1.93855,0.1049263,
-1.101855,1.933386,0.1034516,
-1.102344,1.927946,0.1018948,
-1.102933,1.922499,0.1002653,
-1.103799,1.917043,0.0986203,
-1.104805,1.911709,0.09683937,
-1.105638,1.906352,0.09511755,
-1.106226,1.900986,0.09359422,
-1.106638,1.895777,0.09230007,
-1.106977,1.890681,0.09111165,
-1.107388,1.885507,0.08998949,
-1.107792,1.880355,0.08880719,
-1.108395,1.875144,0.08769272,
-1.109267,1.87006,0.08648072,
-1.110286,1.86504,0.08523937,
-1.111256,1.859969,0.08407314,
-1.11204,1.855055,0.08309796,
-1.112722,1.850171,0.08224943,
-1.113233,1.84539,0.08136004,
-1.113615,1.840642,0.08051871,
-1.113904,1.835795,0.0797403,
-1.1142,1.830821,0.07894842,
-1.11448,1.825778,0.07818106,
-1.114732,1.820748,0.07739453,
-1.114962,1.815518,0.07664242,
-1.114974,1.810333,0.07588185,
-1.114866,1.804958,0.07510215,
-1.114681,1.799575,0.07436128,
-1.114434,1.794025,0.0737139,
-1.114245,1.788528,0.07301573,
-1.114182,1.782955,0.07227443,
-1.114383,1.777134,0.07132258,
-1.114698,1.771184,0.07017482,
-1.114988,1.765123,0.06906739,
-1.115191,1.75912,0.06818464,
-1.115182,1.753181,0.06754714,
-1.114938,1.747313,0.06698006,
-1.114564,1.741518,0.06638668,
-1.114405,1.73568,0.06562416,
-1.114274,1.729819,0.06488077,
-1.114002,1.723749,0.06427936,
-1.113737,1.717706,0.06375691,
-1.113411,1.711744,0.06325915,
-1.113253,1.706027,0.06269675,
-1.112915,1.700161,0.06213567,
-1.112473,1.694445,0.06163902,
-1.1121,1.688664,0.06131747,
-1.111739,1.6829,0.06092659,
-1.111252,1.677053,0.06071343,
-1.110711,1.671219,0.06067027,
-1.110318,1.665617,0.06054,
-1.110067,1.659932,0.06040693,
-1.109838,1.654219,0.06027337,
-1.109583,1.648452,0.06034408,
-1.109336,1.642606,0.06056609,
-1.109216,1.636736,0.0606157,
-1.109461,1.630895,0.06043367,
-1.109602,1.625055,0.06021292,
-1.109546,1.619092,0.06020123,
-1.109502,1.61324,0.06039074,
-1.109495,1.607476,0.06068686,
-1.109534,1.601904,0.06088027,
-1.109495,1.596416,0.06101345,
-1.109326,1.59123,0.06119006,
-1.109386,1.586388,0.0614902,
-1.109614,1.581859,0.0618083,
-1.109875,1.577394,0.06223059,
-1.109963,1.573154,0.06270806,
-1.109996,1.569254,0.06326644,
-1.109969,1.565684,0.06378711,
-1.110009,1.562467,0.06438716,
-1.110109,1.559428,0.06500348,
-1.110188,1.556401,0.06559183,
-1.11021,1.553409,0.06612901,
-1.110201,1.550435,0.06665185,
-1.110127,1.547598,0.06724065,
-1.110067,1.54496,0.06786108,
-1.110071,1.542649,0.06837766,
-1.11022,1.54043,0.0689371,
-1.11057,1.538366,0.06933055,
-1.11087,1.536376,0.06966116,
-1.111101,1.534541,0.07005619,
-1.11129,1.53316,0.07048612,
-1.111588,1.532116,0.07094088,
-1.111908,1.531403,0.07136525,
-1.112092,1.531188,0.07174672,
-1.112072,1.531299,0.07224343,
-1.112074,1.531778,0.0727108,
-1.112078,1.532441,0.07307193,
-1.111954,1.533267,0.0733196,
-1.111653,1.534364,0.07356833,
-1.111364,1.535645,0.07377698,
-1.111145,1.537128,0.07392436,
-1.1109,1.538914,0.07399891,
-1.110579,1.540864,0.07414398,
-1.110209,1.543142,0.07422081,
-1.109874,1.545499,0.07426589,
-1.109498,1.548143,0.07428756,
-1.109165,1.550905,0.07435472,
-1.108902,1.554031,0.07438157,
-1.108576,1.557179,0.07442249,
-1.108288,1.560524,0.07445821,
-1.108024,1.563959,0.0744352,
-1.107634,1.567458,0.07445722,
-1.107213,1.570989,0.07443868,
-1.106827,1.574676,0.0744153,
-1.106515,1.578597,0.07441829,
-1.106115,1.58273,0.07447062,
-1.105593,1.586931,0.07458217,
-1.105249,1.591223,0.07459438,
-1.104805,1.59556,0.07453494,
-1.104329,1.600037,0.07452044,
-1.103824,1.604636,0.0745625,
-1.103352,1.609206,0.07456738,
-1.103048,1.614046,0.07460059,
-1.102677,1.618949,0.07466146,
-1.102214,1.623893,0.0747505,
-1.101817,1.628821,0.07486338,
-1.101343,1.633768,0.07493922,
-1.100807,1.638803,0.07512549,
-1.100305,1.643861,0.07535339,
-1.099845,1.648997,0.07549045,
-1.099267,1.654217,0.07572014,
-1.098722,1.65952,0.07604615,
-1.098158,1.664819,0.07637572,
-1.097537,1.670051,0.07665873,
-1.096841,1.675211,0.07700577,
-1.096217,1.680339,0.07735865,
-1.095532,1.6854,0.07761328,
-1.094657,1.690454,0.07787283,
-1.093823,1.695531,0.0783111,
-1.093252,1.70076,0.07863308,
-1.092558,1.705932,0.07907702,
-1.092074,1.711032,0.07954086,
-1.091821,1.716047,0.07992695,
-1.091701,1.720937,0.08021283,
-1.091573,1.725679,0.08050372,
-1.091422,1.73036,0.08098943,
-1.091443,1.734999,0.08156317,
-1.091763,1.739526,0.08203791,
-1.09231,1.743904,0.08250684,
-1.092894,1.748243,0.08302201,
-1.093649,1.752444,0.08367968,
-1.094525,1.756596,0.0843113,
-1.095633,1.760646,0.08497727,
-1.096863,1.764619,0.08568382,
-1.098065,1.768446,0.0864604,
-1.099383,1.772283,0.08732314,
-1.100705,1.77601,0.08823007,
-1.10216,1.779646,0.08919567,
-1.10374,1.783118,0.09015921,
-1.10544,1.786514,0.09110446,
-1.106979,1.789881,0.0921391,
-1.108688,1.79315,0.09339441,
-1.110672,1.796476,0.09462186,
-1.112733,1.799727,0.09594518,
-1.114871,1.802814,0.09738445,
-1.117014,1.805918,0.09885003,
-1.119298,1.808946,0.1004711,
-1.121763,1.811795,0.1020406,
-1.12422,1.814512,0.1036504,
-1.126802,1.817067,0.1054381,
-1.129713,1.819388,0.1072112,
-1.13272,1.821674,0.1089405,
-1.135815,1.823743,0.1108653,
-1.139053,1.82575,0.1128636,
-1.142478,1.827498,0.1149545,
-1.146094,1.828954,0.1170361,
-1.149874,1.830244,0.1191128,
-1.15377,1.831154,0.1211634,
-1.157717,1.831978,0.1233138,
-1.161749,1.832829,0.1256346,
-1.165915,1.833572,0.12812,
-1.170144,1.8342,0.1306361,
-1.174461,1.834718,0.1330905,
-1.178644,1.834957,0.1355371,
-1.182778,1.835072,0.1380161,
-1.186966,1.834944,0.1404835,
-1.191121,1.834692,0.1429424,
-1.195382,1.834193,0.1454422,
-1.199635,1.833415,0.1478078,
-1.204025,1.832397,0.1500764,
-1.208574,1.831177,0.1521651,
-1.213003,1.82977,0.1543356,
-1.217314,1.82811,0.1565128,
-1.22161,1.826261,0.1586399,
-1.225829,1.82423,0.1607422,
-1.229933,1.822243,0.1628975,
-1.234156,1.820269,0.1652048,
-1.238521,1.818258,0.1674563,
-1.242903,1.815887,0.1695661,
-1.247072,1.813338,0.1716195,
-1.251263,1.810614,0.1736549,
-1.255516,1.807884,0.1755926,
-1.259495,1.805085,0.1775801,
-1.263584,1.802145,0.179554,
-1.267704,1.798962,0.1813125,
-1.271758,1.795586,0.1829107,
-1.275558,1.791969,0.1844528,
-1.27926,1.788369,0.1859868,
-1.282934,1.784809,0.1874481,
-1.286678,1.781197,0.1888733,
-1.290531,1.777492,0.1901933,
-1.294126,1.773517,0.1914379,
-1.297563,1.769467,0.1925921,
-1.300897,1.765353,0.1936305,
-1.304184,1.761295,0.1945763,
-1.30722,1.757176,0.1954668,
-1.309856,1.753003,0.196182,
-1.312258,1.748487,0.1966205,
-1.314578,1.743852,0.196762,
-1.316614,1.738885,0.1966543,
-1.318633,1.733669,0.1963595,
-1.320743,1.728221,0.1958304,
-1.322837,1.722766,0.195207,
-1.324775,1.717229,0.1945835,
-1.326609,1.711532,0.1938643,
-1.328317,1.705712,0.1929276,
-1.32976,1.699862,0.1919054,
-1.330892,1.693839,0.1908116,
-1.331692,1.687766,0.1895695,
-1.332168,1.68155,0.1881923,
-1.332438,1.675353,0.1864593,
-1.332445,1.669162,0.1846464,
-1.332128,1.662894,0.1826665,
-1.331471,1.656697,0.1804487,
-1.33022,1.650671,0.178176,
-1.328718,1.645081,0.175859,
-1.327124,1.639741,0.1735621,
-1.325404,1.634697,0.1711492,
-1.323389,1.629694,0.1686361,
-1.321128,1.624614,0.1659168,
-1.318421,1.619381,0.1629737,
-1.315605,1.614194,0.159788,
-1.312519,1.608951,0.1564607,
-1.309066,1.603654,0.152967,
-1.305332,1.598586,0.149506,
-1.301551,1.59374,0.1461846,
-1.297531,1.589134,0.1427786,
-1.2934,1.584874,0.1393393,
-1.28904,1.580732,0.1357614,
-1.284724,1.576901,0.1322531,
-1.280212,1.573248,0.1288706,
-1.27556,1.569888,0.1255054,
-1.270828,1.566663,0.122134,
-1.266206,1.563598,0.1187368,
-1.26131,1.560798,0.115284,
-1.256472,1.55832,0.112023,
-1.251433,1.556007,0.1087961,
-1.246311,1.553725,0.1055326,
-1.241093,1.551765,0.1022494,
-1.235713,1.549971,0.09908071,
-1.230497,1.548398,0.09597306,
-1.225134,1.546955,0.09296471,
-1.219803,1.545819,0.09003062,
-1.214466,1.544847,0.08722556,
-1.209216,1.54406,0.08445556,
-1.20415,1.543396,0.08172829,
-1.199193,1.542921,0.07907887,
-1.194169,1.542544,0.07662137,
-1.189167,1.542162,0.07432251,
-1.184351,1.541974,0.07207784,
-1.179735,1.542105,0.07005007,
-1.175329,1.542208,0.06810796,
-1.170983,1.542385,0.06620172,
-1.16669,1.542462,0.06443386,
-1.162692,1.542588,0.06269388,
-1.158909,1.542741,0.06101694,
-1.155343,1.542998,0.05949736,
-1.151941,1.543287,0.05811511,
-1.148778,1.5439,0.05695727,
-1.14592,1.544607,0.05589677,
-1.143337,1.545288,0.0548306,
-1.1408,1.545928,0.05379737,
-1.138401,1.546382,0.05293174,
-1.136276,1.546847,0.05209959,
-1.134428,1.547204,0.05131545,
-1.13287,1.547517,0.05062535,
-1.131555,1.547733,0.05007647,
-1.130582,1.547926,0.04957723,
-1.129959,1.548052,0.0491695,
-1.129669,1.547991,0.04876206,
-1.129235,1.54833,0.04864851,
-1.129,1.548753,0.04907836,
-1.129424,1.548766,0.04960184,
-1.130417,1.548393,0.04966323,
-1.131399,1.548216,0.04952655,
-1.132423,1.548086,0.04988835,
-1.13341,1.547992,0.05036206,
-1.133717,1.547991,0.0504339,
