controller_right_pos.x,controller_right_pos.y,controller_right_pos.z
1.643337,0.7469518,-1.025641,
1.642154,0.7467756,-1.025916,
1.788727,0.5463203,-1.17998,
1.789041,0.5475858,-1.179587,
1.788539,0.5482613,-1.179537,
1.78806,0.5488555,-1.179521,
1.787616,0.5493647,-1.17956,
1.787203,0.5498086,-1.179613,
1.786814,0.5502087,-1.179637,
1.082652,0.8263443,-1.497518,
1.78643,0.5505907,-1.179614,
1.082655,0.826307,-1.497486,
1.786052,0.5509571,-1.179535,
1.785673,0.5513136,-1.179415,
1.785344,0.5516089,-1.179302,
1.784958,0.5519409,-1.179168,
1.784582,0.5522474,-1.179062,
1.784215,0.5525302,-1.178995,
1.783839,0.5528045,-1.178968,
1.783444,0.55308,-1.178939,
1.783002,0.5533761,-1.178864,
1.782504,0.5536945,-1.178753,
1.781928,0.5540392,-1.178627,
1.781358,0.5543581,-1.178502,
1.780458,0.554816,-1.178299,
1.77966,0.5551797,-1.178128,
1.778585,0.555609,-1.177928,
1.981069,0.5174094,-1.422108,
1.983083,0.5169584,-1.423854,
1.982193,0.5168408,-1.423496,
1.981557,0.5168967,-1.422633,
1.980996,0.5172982,-1.423445,
1.980028,0.5177654,-1.423121,
1.979624,0.5176246,-1.422048,
1.979909,0.5181196,-1.42115,
1.980475,0.517434,-1.420523,
1.980699,0.5177994,-1.420668,
1.980648,0.5178588,-1.420261,
1.980558,0.5178707,-1.420135,
1.9807,0.5176598,-1.419597,
1.981112,0.517607,-1.419247,
1.981016,0.5173124,-1.41904,
1.981193,0.5173979,-1.418639,
1.977592,0.5177943,-1.417298,
1.973107,0.5185775,-1.416174,
1.968992,0.5188951,-1.414672,
1.968533,0.519137,-1.414083,
1.967899,0.5191233,-1.414309,
1.967105,0.5185745,-1.41454,
1.966922,0.5182052,-1.414613,
1.966761,0.5180458,-1.414735,
1.96694,0.5182353,-1.414641,
1.967307,0.5182612,-1.414484,
1.967619,0.5180042,-1.414349,
1.9679,0.5177478,-1.414234,
1.968026,0.5177028,-1.414125,
1.967927,0.5178971,-1.414036,
1.967755,0.5180509,-1.41396,
1.967746,0.5178551,-1.413993,
1.967808,0.5176204,-1.414029,
1.967866,0.5175365,-1.414042,
1.967791,0.517562,-1.414029,
1.967712,0.51751,-1.414001,
1.967816,0.5174919,-1.414043,
1.967845,0.5175629,-1.414094,
1.967637,0.5178676,-1.414088,
1.967764,0.5180309,-1.414051,
1.968111,0.5178903,-1.413953,
1.968088,0.5177271,-1.413836,
1.968094,0.5173502,-1.413754,
1.967932,0.5170327,-1.413684,
1.967887,0.5167405,-1.413705,
1.967936,0.5166389,-1.413674,
1.967968,0.5166902,-1.413571,
1.967957,0.5168445,-1.413363,
1.967846,0.5168945,-1.41321,
1.96772,0.5166745,-1.413125,
1.967619,0.5163621,-1.413071,
1.967491,0.5160621,-1.413007,
1.967231,0.5159245,-1.412931,
1.967016,0.5160329,-1.412944,
1.966805,0.5162005,-1.413003,
1.966947,0.5163091,-1.412842,
1.9671,0.5164528,-1.412758,
1.967208,0.5164477,-1.412603,
1.967361,0.5163271,-1.412619,
1.967422,0.5161824,-1.412656,
1.967512,0.5160653,-1.41268,
1.967658,0.5160891,-1.412597,
1.967847,0.5164713,-1.412344,
1.967978,0.5167285,-1.412122,
1.967871,0.5165922,-1.4122,
1.967747,0.5162841,-1.412314,
1.967667,0.516007,-1.412282,
1.967664,0.5159494,-1.412094,
1.967684,0.5160286,-1.411927,
1.967627,0.5160247,-1.411773,
1.967547,0.5160645,-1.411705,
1.96747,0.5161093,-1.411654,
1.967345,0.5161679,-1.411561,
1.967351,0.5163356,-1.411456,
1.967352,0.5163796,-1.411371,
1.967418,0.5163839,-1.411291,
1.967344,0.5162942,-1.411297,
1.967313,0.5162346,-1.411364,
1.967295,0.516273,-1.411333,
1.967311,0.5163559,-1.411298,
1.967321,0.5163311,-1.411362,
1.967224,0.5158827,-1.411566,
1.967528,0.5149255,-1.412016,
1.967774,0.5156189,-1.411474,
1.968231,0.5167508,-1.41114,
1.968642,0.5178732,-1.410618,
1.968615,0.517219,-1.410768,
