controller_right_pos.x,controller_right_pos.y,controller_right_pos.z
-1.266685,0.9623249,0.5215505,
-1.267554,0.9617285,0.5235115,
-1.267696,0.9612924,0.5252718,
-1.268293,0.9613667,0.5267147,
-1.268501,0.9614551,0.5278525,
-1.268152,0.9619164,0.5286036,
-1.268606,0.962477,0.5289627,
-0.5328007,1.236606,0.2200264,
-0.5347118,1.237157,0.2226925,
-0.534802,1.235958,0.2191631,
-0.5360464,1.235333,0.2183645,
-0.5375679,1.235075,0.2173416,
-0.5394391,1.234745,0.2160202,
-0.5413486,1.234704,0.2145322,
-0.5436139,1.23518,0.2129228,
-0.5462708,1.236168,0.2110407,
-0.5492759,1.237354,0.2088968,
-0.5528021,1.238877,0.2064002,
-0.5566006,1.240605,0.2038766,
-0.5607045,1.242622,0.2013977,
-0.5651392,1.244943,0.1988005,
-0.5700724,1.247442,0.1961441,
-0.5751721,1.250126,0.1932676,
-0.5805163,1.252956,0.1905848,
-0.5863423,1.255842,0.1878477,
-0.5923542,1.258765,0.1850431,
-0.5986109,1.261933,0.1822104,
-0.6051121,1.265339,0.179449,
-0.6118464,1.268843,0.1767168,
-0.6190448,1.272467,0.1736553,
-0.6264925,1.276209,0.1705486,
-0.6343254,1.280157,0.1674558,
-0.6422184,1.284194,0.1643757,
-0.6504051,1.288395,0.1613237,
-0.6587992,1.292744,0.1581594,
-0.6672043,1.297201,0.1551057,
-0.6758738,1.301795,0.152245,
-0.6846825,1.306561,0.149492,
-0.6937824,1.311497,0.1467589,
-0.7028494,1.31656,0.1439849,
-0.7119441,1.321757,0.1413825,
-0.7210761,1.327059,0.1389996,
-0.7302961,1.332563,0.1366756,
-0.7396187,1.338188,0.1344498,
-0.7489377,1.343711,0.1322672,
-0.7582185,1.349362,0.1302845,
-0.767601,1.355263,0.1284529,
-0.7768899,1.361397,0.126752,
-0.7861862,1.367787,0.1251649,
-0.795559,1.374459,0.123731,
-0.8049079,1.381179,0.1223822,
-0.8143529,1.387921,0.1210802,
-0.8238098,1.39467,0.1198228,
-0.8331525,1.401449,0.118837,
-0.8424362,1.408084,0.1180302,
-0.8516455,1.4147,0.1172475,
-0.8610164,1.421378,0.1165711,
-0.8703461,1.428094,0.1159897,
-0.87982,1.43489,0.1155447,
-0.8893817,1.441619,0.115028,
-0.8988986,1.448262,0.114632,
-0.9083479,1.454997,0.1143894,
-0.9177821,1.461861,0.1143304,
-0.9271047,1.468801,0.1143439,
-0.9362106,1.475944,0.1146834,
-0.9453619,1.483358,0.1151275,
-0.9547462,1.490948,0.1156545,
-0.9641656,1.498673,0.1161463,
-0.9733632,1.506279,0.1168807,
-0.9824771,1.513941,0.1178538,
-0.9914353,1.521782,0.1188916,
-1.000115,1.529913,0.1203131,
-1.008629,1.538084,0.1220473,
-1.017052,1.546245,0.1237725,
-1.025122,1.5544,0.1256323,
-1.032999,1.562429,0.1277829,
-1.041048,1.570371,0.1299524,
-1.048986,1.578069,0.1322547,
-1.05671,1.585539,0.1347476,
-1.064298,1.592728,0.1372429,
-1.071526,1.599751,0.1398871,
