controller_right_pos.x,controller_right_pos.y,controller_right_pos.z
0.05797704,1.406772,0.2139855,
0.05890528,1.404737,0.2121873,
0.05983206,1.402403,0.2091784,
0.0612031,1.399802,0.2071681,
0.06300789,1.39674,0.2051162,
0.06490923,1.393317,0.2026368,
0.0666909,1.38976,0.2002877,
0.06808936,1.386039,0.1982904,
0.06947383,1.382035,0.1964826,
0.07087134,1.377862,0.194967,
0.07222026,1.373488,0.1933584,
0.07336212,1.368963,0.1919021,
0.07435548,1.363894,0.1908114,
0.07548109,1.35842,0.1896735,
0.07666121,1.352683,0.1889102,
0.07778792,1.346486,0.1885008,
0.0790838,1.340108,0.1883717,
0.08025752,1.333614,0.1882522,
0.08115613,1.326604,0.1883886,
0.08183172,1.319241,0.188593,
0.0824456,1.311448,0.1889347,
0.08308212,1.303042,0.1893871,
0.08390042,1.294252,0.1901629,
0.08482111,1.285284,0.1914483,
0.08589381,1.276101,0.193258,
0.08688098,1.266717,0.1951685,
0.08770669,1.256858,0.1971024,
0.08860835,1.246538,0.1993215,
0.0897142,1.235668,0.2019301,
0.09081067,1.224789,0.2047802,
0.0918133,1.213884,0.2079623,
0.09247252,1.202951,0.2111565,
0.09266895,1.19194,0.2143233,
0.09271393,1.180628,0.217683,
0.09268021,1.169164,0.2209743,
0.09263555,1.157572,0.2245524,
0.09247804,1.146043,0.2282285,
0.09207399,1.134708,0.2319949,
0.09116306,1.12362,0.2361283,
0.08993721,1.112809,0.2403324,
0.0883867,1.102463,0.2446702,
0.08647981,1.092601,0.2490059,
0.08453815,1.083272,0.2534239,
0.08247422,1.074298,0.2575884,
0.08019419,1.06592,0.2614352,
0.07794163,1.058282,0.2650602,
0.07582396,1.051758,0.2686044,
0.07381747,1.046249,0.2720424,
0.0719506,1.041608,0.2751248,
0.07048745,1.03765,0.2776722,
0.06953699,1.034836,0.2798999,
0.06877041,1.032977,0.2817276,
0.06821972,1.031966,0.282886,
0.06801303,1.032113,0.2836021,
0.06810243,1.033423,0.2837468,
0.06851889,1.035326,0.2834035,
0.06921754,1.037987,0.2827135,
0.07014178,1.041209,0.2815095,
0.07128398,1.045022,0.2797854,
0.0724676,1.049472,0.2777218,
0.07362453,1.054535,0.2751933,
0.07482185,1.060234,0.27237,
0.07593314,1.066432,0.2692676,
0.07702228,1.072915,0.2661214,
0.07797967,1.080393,0.2625113,
0.07881507,1.088157,0.2590462,
0.07939733,1.096823,0.2552755,
0.07986443,1.10595,0.251372,
0.08021957,1.115288,0.2474002,
0.08040541,1.124811,0.2434356,
0.08043697,1.13476,0.2394591,
0.08027309,1.144944,0.2353492,
0.08006935,1.155363,0.231318,
0.0795265,1.166117,0.2272494,
0.07879519,1.177385,0.2234946,
0.07772165,1.188743,0.2200132,
0.07636818,1.199939,0.2163384,
0.07476443,1.211197,0.2125812,
0.07279062,1.222512,0.2090795,
0.07046904,1.233791,0.2057684,
0.06765576,1.244833,0.2025939,
0.06466909,1.255587,0.1996629,
0.06155896,1.266073,0.1969729,
0.05807038,1.276384,0.194583,
0.05423279,1.286242,0.1924527,
0.05010664,1.295449,0.1902335,
0.04574445,1.304139,0.1880854,
0.04090869,1.312248,0.1859879,
0.03566708,1.319655,0.1841241,
0.03007198,1.326322,0.1820904,
0.02424696,1.332479,0.1803156,
0.01811644,1.338245,0.178828,
0.01169971,1.343554,0.1776268,
0.004911375,1.348259,0.1765784,
-0.002072052,1.352452,0.1755688,
-0.009278851,1.356067,0.1745651,
-0.0168929,1.358844,0.1735493,
-0.02474614,1.360941,0.1726608,
-0.03285233,1.362283,0.1718756,
-0.0411202,1.36295,0.17114,
-0.04948472,1.362941,0.1705732,
-0.05786489,1.362232,0.1702244,
-0.06633542,1.36085,0.1699429,
-0.07483418,1.358973,0.169904,
-0.08338402,1.356597,0.1702758,
-0.09193061,1.35354,0.1707695,
-0.100432,1.349797,0.1712494,
-0.1085245,1.345255,0.1720469,
-0.116332,1.340401,0.1729859,
-0.1236598,1.33523,0.1742593,
-0.1304714,1.329709,0.1758611,
-0.13678,1.323889,0.1777215,
-0.1426653,1.317721,0.1798341,
-0.1479698,1.311153,0.1823146,
-0.1524361,1.304242,0.1850272,
-0.1561577,1.297076,0.1880694,
-0.1592003,1.289765,0.1913092,
-0.1618209,1.282264,0.1947055,
-0.1638904,1.274508,0.1981989,
-0.1654988,1.266454,0.2017199,
-0.1666144,1.25811,0.2054755,
-0.167616,1.249918,0.2092644,
-0.1682931,1.241607,0.2134104,
-0.1686976,1.233242,0.2176547,
-0.1688929,1.224799,0.2219134,
-0.1688109,1.216208,0.2262322,
-0.1686045,1.207489,0.2304049,
-0.1683511,1.198712,0.2346162,
-0.1681464,1.189853,0.2388526,
-0.1679861,1.181051,0.2430903,
-0.1680825,1.17233,0.2473214,
-0.1682315,1.16379,0.2516102,
-0.1681954,1.155306,0.25598,
-0.1678829,1.146723,0.2601961,
-0.1676024,1.138331,0.2641191,
-0.1671767,1.130333,0.2680539,
-0.1669756,1.12261,0.2718342,
-0.1668904,1.115245,0.2754501,
-0.166989,1.108347,0.2787223,
-0.1672022,1.102069,0.2817948,
-0.1673389,1.09641,0.2847177,
-0.167465,1.091283,0.287224,
