time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
179.421,-0.1676229,-0.0008557215,0.01331222,0.04046091,0.01889863,0.1551696,0.0751822,0.07634873,-0.2489905,4.895932,359.3335,352.4243,-0.5051987,-1.74282,0.1543506,-0.3120797,-1.718994,-3.637792,-0.2340375,-0.1870933,0.178522,337.2032,344.1931,35.81769,-0.5385331,1.612617,-0.09901392,0.6084362,-2.588633,-5.2226,0.3641314,-0.005802238,0.1997715,333.2702,4.654843,49.69321,
193.44,-0.161464,-0.001401095,0.01560345,0.04876759,0.04207513,0.1402875,0.07311583,0.07624152,-0.2487626,4.847814,359.2489,352.3426,-0.3924608,-1.755876,0.1252416,-0.1576334,-1.625913,-3.488674,-0.2354754,-0.2099536,0.1793726,338.6852,342.9635,38.33794,-0.6304539,1.560324,-0.113433,0.5909013,-2.500344,-5.09266,0.3546716,0.01413195,0.1977715,332.7414,2.745149,54.48842,
207.385,-0.1548103,-0.002753319,0.0173677,0.05216844,0.06298649,0.1431626,0.07112122,0.07610993,-0.2485161,4.813469,359.1479,352.2194,-0.2842765,-1.752838,0.08928921,0.0323503,-1.471844,-3.363156,-0.2355558,-0.2328374,0.1795111,339.9511,341.7696,40.79434,-0.7212448,1.510771,-0.1318888,0.6920441,-2.455581,-5.098672,0.3438429,0.03349311,0.1955778,332.1902,0.7091868,59.56419,
220.866,-0.1479167,-0.004345367,0.018895,0.03933033,0.08105037,0.1425238,0.06925559,0.07603534,-0.2482219,4.820889,359.0363,352.1164,-0.1814604,-1.746384,0.06089859,0.0931987,-1.326302,-3.287258,-0.234347,-0.2552256,0.1799636,341.3716,340.5365,43.08373,-0.8317618,1.455622,-0.1595819,0.8800374,-2.291677,-5.098062,0.3310794,0.05194074,0.1928928,331.3794,358.624,64.54204,
235.066,-0.1403776,-0.006587533,0.02072865,0.03328206,0.0950682,0.1251786,0.06750965,0.07584012,-0.2478714,4.805715,358.9314,352.0634,-0.0806642,-1.740958,0.04492916,0.02813625,-1.31466,-3.285651,-0.2319151,-0.2772969,0.1801615,343.2528,339.4002,45.23169,-0.9175824,1.402203,-0.1807397,1.03294,-2.124923,-4.995065,0.3177043,0.06958975,0.1899709,330.6906,356.6383,69.27868,
248.999,-0.1332739,-0.009593852,0.02242983,0.02999122,0.09477783,0.1195611,0.06578207,0.07563376,-0.2474895,4.800406,358.8488,351.9714,0.02379948,-1.737851,0.03584031,0.05976531,-1.484663,-3.33255,-0.2284053,-0.299125,0.1803416,345.4855,338.6832,47.46404,-0.9948339,1.341877,-0.1974953,1.082993,-1.949484,-4.725454,0.3032404,0.08640375,0.1869121,330.2683,354.8304,73.49536,
262.777,-0.1252349,-0.01137293,0.02409707,0.01804306,0.09596705,0.1244677,0.06421518,0.07551323,-0.2470489,4.812902,358.752,351.8641,0.1282145,-1.731455,0.02624609,0.2861573,-1.690734,-3.485492,-0.2237406,-0.3206786,0.1802283,347.8552,338.2947,50.08836,-1.070887,1.272038,-0.2165853,0.9898776,-1.765315,-4.375291,0.2877289,0.1020913,0.1832627,330.1149,352.9927,77.18725,
276.858,-0.1162231,-0.01264716,0.02564956,0.01613239,0.09264164,0.1096862,0.06283736,0.07530443,-0.2466607,4.804568,358.6749,351.8217,0.2234075,-1.713122,0.01747195,0.5632572,-1.830457,-3.573193,-0.2182427,-0.3413258,0.179954,350.1975,338.2836,52.75387,-1.148681,1.191322,-0.2362473,0.7947374,-1.613637,-4.035889,0.2712558,0.1165552,0.1795314,330.2134,350.9995,80.51974,
290.84,-0.107078,-0.01485186,0.02692174,0.02146481,0.08338223,0.09760553,0.06156969,0.07496777,-0.2462516,4.778806,358.6118,351.7632,0.3264886,-1.668458,-0.002732012,0.7808898,-1.818308,-3.573457,-0.2112487,-0.3609162,0.1791023,352.3618,338.412,55.28063,-1.219703,1.102795,-0.2555171,0.6029449,-1.489631,-3.711413,0.2540632,0.1296466,0.1754481,330.4611,349.0173,83.52182,
304.776,-0.09781526,-0.01748782,0.02756534,0.008012826,0.07861929,0.08938991,0.06042552,0.07467879,-0.2458663,4.815003,358.5489,351.7035,0.420505,-1.609977,-0.02636212,0.8729298,-1.670384,-3.484211,-0.2031223,-0.37977,0.1780357,354.2836,338.4501,57.54044,-1.276462,1.008527,-0.2719826,0.4433122,-1.380711,-3.339926,0.2363223,0.1413343,0.1712537,330.8293,347.2664,86.04729,
